x:598,6:03
y:946,
x:2276,6:11
y:1067,
x:1873,8:07
y:526,
x:218,5:20
y:8,
x:1923,6:06
y:462,
x:2298,6:06
y:128,
x:980,5:02
y:5,
x:2286,6:04
y:634,
x:20,10:04
y:384,
x:428,8:23
y:802,
x:1706,8:13
y:1084,
x:1746,9:01
y:24,
x:17,5:04
y:170,
x:452,9:06
y:914,
x:536,9:02
y:949,
x:106,8:05
y:1142,
x:4,5:17
y:462,
x:8,11:00
y:692,
x:2296,10:03
y:304,
x:202,10:04
y:970,
x:1924,6:14
y:918,
x:2264,10:03
y:416,
x:2016,5:01
y:922,
x:1136,7:02
y:6,
x:1623,6:01
y:1010,
x:28,8:05
y:534,
x:492,7:01
y:769,
x:2276,10:08
y:436,
x:1456,8:02
y:218,
x:2294,8:04
y:620,
x:2296,7:18
y:0,
x:28,10:03
y:44,
x:19,8:04
y:1074,
x:94,5:12
y:36,
x:2293,8:00
y:562,
x:1412,8:19
y:276,
x:447,8:03
y:118,
x:2288,7:15
y:548,
x:116,5:00
y:620,
x:2,8:04
y:784,
x:2016,7:01
y:276,
x:126,6:13
y:1110,
x:1906,6:02
y:600,
x:10,9:12
y:592,
x:581,9:04
y:989,
x:4,7:00
y:392,
x:2295,5:06
y:459,
x:501,7:03
y:474,
x:1956,10:08
y:1272,
x:212,10:00
y:548,
x:1756,6:12
y:240,
x:520,5:06
y:628,
x:8,9:01
y:528,
x:320,7:05
y:692,
x:2276,5:16
y:404,
x:2296,6:02
y:1048,
x:418,8:00
y:798,
x:2088,9:04
y:592,
x:1822,9:09
y:834,
x:2292,5:05
y:212,
